,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,-1.363737,-2.5247338,0.93349457,1.1719674,-1.6044506,1.5524825,-0.24393505,-0.5413266,-1.0434484,0.15194254,2.4161713,1.4575559,0.4125717,-1.3841305,-2.5196335,-1.2016547,2.9603443,0.28934455,-1.6419517,1.6010035,-2.684945,1.3135058,0.8650453,-0.97961444,-1.8567505,-0.6422974,0.5205956,-0.10266791,-0.4580261,-0.60577005,-2.7062294,-1.3384953
1,-1.3794369,-2.5048182,0.9516102,1.1752108,-1.6222409,1.5316358,-0.2486186,-0.51916283,-1.0569295,0.12701583,2.4053082,1.4409144,0.4001404,-1.3945221,-2.5067625,-1.2241662,2.9470782,0.2853082,-1.6270322,1.5757507,-2.7045166,1.3046546,0.8523657,-0.9846244,-1.8497264,-0.65893584,0.5391116,-0.09823453,-0.46731287,-0.6279396,-2.6956935,-1.3172717
2,-2.05257,-1.8238652,1.3674538,0.8818431,-2.056928,0.758483,-0.27582338,0.04375859,-1.3302491,-0.61484593,1.8587621,0.7103329,-0.13192064,-1.5060532,-1.7633396,-1.7820828,2.300776,0.2605955,-1.1550202,0.59778273,-3.1727653,0.78902423,0.1447038,-1.3285292,-1.4992893,-1.3454034,1.0390407,-0.03914898,-0.69639057,-1.1161146,-1.9434204,-0.4877164
3,-2.2232044,-1.583897,1.5587991,0.8469106,-2.1980684,0.5366648,-0.3344561,0.24422044,-1.465776,-0.9364985,1.7021145,0.5076144,-0.23340966,-1.6009272,-1.5644978,-2.0332067,2.0869367,0.20087157,-1.0247084,0.3599132,-3.3441582,0.6841926,-0.024325086,-1.3886771,-1.3744291,-1.5061518,1.2038531,-0.010908193,-0.7750402,-1.366018,-1.7509803,-0.26485994
4,-2.1564727,-1.7910448,1.4049752,0.8048682,-2.1087868,0.6986143,-0.29135212,0.055684593,-1.3232063,-0.69933045,1.8507074,0.6498742,-0.1645228,-1.4886976,-1.6975375,-1.8470292,2.221427,0.25550583,-1.1718671,0.544461,-3.1848059,0.73223096,0.10321805,-1.3767556,-1.4470586,-1.4022442,1.0533382,-0.052373417,-0.6954812,-1.1779007,-1.8782337,-0.44652912
5,1.1730208,-1.2867286,1.4933949,2.0206656,-0.011233404,2.2088897,-0.6393879,-0.7364206,-1.5802253,-0.35019982,1.1834499,1.9336773,1.8814781,-1.0618657,-2.0968807,-0.6916883,2.2948043,-0.5077418,-1.4284042,3.034974,-1.7207564,2.1406426,1.2847264,-0.03095808,-1.3139819,1.3561555,0.08751077,-0.03829617,-0.07105468,-0.99685276,-1.7919098,-1.2082537
6,-2.0383477,-3.8128347,-1.0228926,0.03614286,-1.261614,1.6086798,0.36215237,-1.4722155,0.025280815,2.399851,2.2489722,1.2782291,-0.71592,-0.36546052,-2.511874,0.22637814,3.4622371,1.0014915,-1.3798053,0.7139717,-1.8438102,0.49806663,-0.18374634,-1.6732734,-2.0829103,-1.346319,0.0947449,-0.7603109,0.0052090837,1.5446985,-2.1298327,-1.5320915
7,0.5558628,-3.4659476,-1.3056338,1.5092819,0.46856585,2.6595366,-0.183857,-1.6084654,-0.6126945,3.209016,1.5033245,2.1972973,0.68458265,-0.5357624,-3.0359683,1.2254069,4.144083,0.28796604,-0.7535844,2.4591568,-1.2994106,1.7896703,0.7796353,0.050663106,-2.614716,0.86293876,-0.31827542,-0.64999187,0.45903355,2.051339,-2.8676364,-2.4426937
8,2.2198179,0.28040916,0.71880734,0.78173804,0.48190424,0.9973922,-0.38622695,-0.48049316,-0.21823858,-1.5641323,0.92154944,2.0605195,2.4298496,0.0048019965,-0.81108785,-0.6410384,-0.13931806,-0.4626057,-0.6148457,2.364677,-0.24384914,1.8878486,2.9251175,1.5409249,0.43142852,2.3450167,-1.2923934,1.2069429,-0.08992917,-1.8993542,-1.2358946,-0.98227435
9,0.1713598,-0.0011877939,0.24087839,0.23034489,-0.26495233,-1.0945468,-0.17020345,1.2697456,0.0043677986,-2.3016663,1.4241933,0.86904335,0.9499594,-0.2751541,-0.12553886,-2.0755956,-1.0351654,0.27037376,0.26798442,-0.49783462,-1.3643272,0.66925144,2.908626,1.8982543,0.6850399,0.804442,-1.0668448,1.7049378,-0.5648701,-1.8874111,-1.4047335,-0.91719717
10,-0.9505323,-3.396562,-2.2405334,-2.2070372,1.6113621,1.4355116,1.1963949,-3.207676,3.2597482,2.8156312,1.3122046,0.6088836,-0.34010604,1.8350166,-1.6124178,2.042663,2.2939227,1.8333355,-2.1249897,1.8012578,0.26785713,0.9121864,-0.24763209,-2.021913,-0.7341449,-1.3372322,-1.36239,-0.32771444,0.20024139,2.5574756,0.6345925,-0.8594286
11,0.6764873,-0.11835812,-0.62530005,-2.582039,1.4333748,-1.0408139,1.4745477,-0.18885733,3.1378794,-1.9626358,1.0725217,0.7237797,0.7468307,1.4795175,0.47681808,-1.1977258,-1.5969574,2.7385592,-0.41025528,-0.011221804,-0.35079813,0.7768108,3.7069147,2.1007414,1.644194,-0.33216384,-2.8775277,3.3142364,-1.2365419,-1.2100368,0.5581389,-1.1897554
