,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.4678244,-1.7828794,0.037672997,-0.37962452,-1.1471908,0.7863332,1.6308707,-1.9853373,-1.0342643,0.7748292,0.6654872,0.8259644,0.06728403,1.910113,-0.90903145,0.38151556,0.3373798,-1.2680753,0.53026915,-3.139619,0.6350045,-0.01518976,0.9523249,-1.0852804,0.024325186,-0.6155226,-1.0046748,-0.12005732,1.6976889,-1.0074468,0.48087925,0.2517015
1,-0.13870707,-2.2027159,1.1328928,0.54301417,1.9194244,3.6038184,0.05548868,-0.97529227,0.37184227,2.1399064,2.3723092,0.07784715,-1.2173123,2.8474035,-4.8870845,1.5305278,-1.9152777,-1.7965305,0.29434913,-0.94755286,-3.4399064,1.1520834,-3.464373,1.5168847,0.56926006,-1.8361443,-3.0301075,-0.13891554,-0.49033684,-2.0865357,1.403413,-2.9610775
2,5.085406,-2.295277,3.0796728,-1.5173174,-1.4884577,-0.07285417,-0.7703316,-2.9007292,-4.4013257,2.7335908,1.8402346,2.215173,-3.5200403,2.0458214,-2.7607133,1.0366122,-1.4281441,-0.42058316,-0.41809544,-0.49440235,-1.340162,2.5845459,-2.6585813,-3.3497894,-1.7619119,-0.28861874,-4.689656,-2.4293065,-2.9471724,-1.3417575,4.142777,-3.4546103
3,0.09734654,-1.8447127,0.30666548,1.8784549,0.99897027,3.0798817,1.0215772,-2.2357092,-1.1489326,1.6642103,0.76682246,0.6176336,1.3592259,2.3619614,-1.2936026,1.3344501,-0.4826747,-1.82852,0.43573296,-3.0058646,-0.39197445,-0.21683764,-1.3081903,0.9691977,-0.16659072,-0.42195427,-1.4358747,0.50834835,1.5976051,-1.0103817,0.56897515,0.109967895
4,0.08051112,-1.8287454,0.28007445,1.8818121,0.9696635,3.0721445,1.0125011,-2.1867876,-1.1217487,1.6452929,0.770486,0.62358415,1.3476264,2.3288517,-1.2648753,1.3225684,-0.47881427,-1.8261774,0.4136297,-2.9587185,-0.38903672,-0.22238828,-1.3029361,0.9727616,-0.17859486,-0.4289081,-1.3933735,0.49769792,1.5920925,-1.0219603,0.5337646,0.11132035
5,1.0875068,-1.4698889,0.48938406,0.250982,-1.744754,0.32716516,1.8036344,-0.7611287,-1.339025,-0.70671755,1.3523633,1.2441615,-2.1831908,0.5406066,0.41670805,0.23423544,-0.07727259,-0.26520562,-0.5982031,-0.59794927,0.8140895,1.243022,0.8854205,-2.0589356,-2.018917,-0.34179413,-0.051248442,-1.5126554,0.089354865,-1.1235673,0.6103787,0.017632825
6,0.09734654,-1.8447127,0.30666548,1.8784549,0.99897027,3.0798817,1.0215772,-2.2357092,-1.1489326,1.6642103,0.76682246,0.6176336,1.3592259,2.3619614,-1.2936026,1.3344501,-0.4826747,-1.82852,0.43573296,-3.0058646,-0.39197445,-0.21683764,-1.3081903,0.9691977,-0.16659072,-0.42195427,-1.4358747,0.50834835,1.5976051,-1.0103817,0.56897515,0.109967895
7,1.1879374,-0.23402634,0.8210795,0.9728775,3.3810875,1.249252,2.0058877,-0.44223747,1.411456,1.6539814,1.3131473,-2.929122,-0.5747445,-1.5968853,-0.5909942,0.6402327,-1.6762193,-2.5609837,0.6200251,-1.9145044,-0.87904567,2.6689444,0.7138613,0.851803,-1.6827985,-0.6562166,0.34511432,-1.1162885,0.26722822,-0.39692235,0.04498353,-1.3719472
8,1.6383641,-0.34312993,1.2949405,0.7501286,4.049474,1.2867901,3.0293965,-1.1620865,1.5652784,1.9644988,1.4621009,-3.803441,-1.0346259,-2.0483675,-0.59961,1.3556774,-1.9875811,-2.8676834,1.0793978,-2.8463082,-0.68434155,3.65438,1.9041255,0.4745348,-2.7705925,-0.117763415,0.70552003,-1.7746637,0.34343812,-0.445803,0.523497,-1.3830916
9,2.6976898,-1.499006,0.94373876,-0.7476802,-3.4567652,-1.3061881,1.5503083,-1.9650451,-3.2578688,-0.19258617,0.59243053,2.0989108,-2.230429,1.448284,0.80306363,-0.19078809,0.72486836,-0.03257719,-0.6274392,-2.0690649,1.7219224,0.90085995,1.3806832,-4.021701,-1.4333878,-0.061331104,-1.3445351,-1.6883925,0.032136917,-0.71730065,1.300162,0.37884447
